Name,Profile Picture
The American International School in Egypt,true
Cairo English School,true
Global Paradigm International جلوبال باراديم School,true
Modern Education Schools,true
CES - Cairo English School,false
Futures Language Schools,true
New Cairo British International School,true
"Modern English School, Cairo",true
Modern Schools of Egypt 2000,true
Manor House International School,true
Salah Al-Din International School,true
Manchester International School,true
Metropolitan School,true
Green Heights International Schools,true
Green Heights Language School,true
Zoser Princes Language School,true
Acic Al-Afak Algadeda,true
Cambridge Egypt - Egypt Integrated Schools,true
Agyal Integrated Language Schools,true
Canadian International School,true
Capital International Schools,true
مدرسة كابيتال الدولية,true
Narmer American College,true
The British School Al Rehab,true
Akhnaton Egyptian Language Schools,true
Egypt British International School,true
Othman Ibn Affan School,true
Al Yasser Language School Y.L.S,true
Manaret Al Farouk Islamic Language School,true
Cairo Modern International School- CMIS,true
Gulf English School Cairo,true
French School,true
American School for Girls,false
The International Schools Of Choueifat,true
Manaret Alfarouk Islamic Language School,true
The Egyptian American International School,false
School of the Future 9 Fifth Avenue,false
Tajan Azharian Language Institutes (TALI),true
El Ola Language School,false
School of Sciences and Engineering,true
