Name,Profile Picture
German School in Hurghada,true
Saint Joseph School,true
School Life Makers International (Happy American),false
sunrise international school,true
Royal El Geel El Saed Private School,true
Modern Egyptian School,false
Hurghada Middle School,false
"Mubarak, 11 public primary schools",false
Sunrise Language School Hurghada,false
Rajac language Schools-hurghada,false
School leader Mustafa Kamel primary common,false
Royal Schools,false
Future Pioneers Languages Schools,true
El Minaa Mixed Secondary School,false
Saad Zaghloul Preparatory School,false
School of Omar Ibn al-Khattab Prep Boys,false
Youth School for Basic Education,false
"Creative Minds American School of Hurghada (C.M.A.S.), Egypt",true
School Rjac Languages,true
مدرسة حامد جوهر,true
School shared secondary port,true
Kite School Hurghada,true
STEM Red Sea,true
مدرسه الحجاز,true
Future pioneers language school,false
Future School,false
Go Wind. Windsurfing & Kitesurfing & Diving School,true
مدرسة شدوان الابتدائيه,false
Hassan Kamel Secondary School For Boys,true
مدرسة طه حسين الابتدائية,true
Hurghada Secondary School For Girls,false
مدرسة الميناء التجريبية الرسمية,false
مدرسة الأمل الابتدائية المشتركة,false
مدرسة الوفاء الإبتدائية,false
Elmina High School,false
مدرسه جمال عبدالناصر الثانويه بنات,false
مدرسة محمد فريد الاعدادية,false
مدرسة حامد جوهر الاعدادية,false
مدرسة اسماء بنت ابي بكر الابتدائية,true
Aden Marina. Shaviviana Sailing School,true
مدرسة الشهيد وليد الجعفري,false
Ecole Fraçaise,true
مدرسة الغردقة التجريبية لغات,false
Frensh School,false
Mirage Motorcycle School,false
Hamed Gohar Prep School,false
مدرسة الشهيد الطيار محمود فؤاد,false
Victoria Educational Pre-school,false
المدرسة المصرية اليابانية,true
Royal El Geel El Saaed School,true
مدرسة الأحياء العامة,true
مدرسه السياحه والفنادق,false
مدرسة التقوى الأبتدائية المشتركة,false
مدرسة بلال بن رباح المشتركة,true
Russian Tradition School,false
مدرسة التقوي الابتدائية,false
Hassan Kamel junior high,true
Hurghada Azhari Institute for Girls,false
Hurghada Training Center commends construction,false
Hurghada Secondary Girls,true
